step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
12,0.075000,0.000000000,0.000000000,0.440876573,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.735750198,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.240876573
13,0.079167,0.000000000,0.000000000,0.437640637,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.776625216,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.237640637
14,0.083333,0.000000000,0.000000000,0.434234381,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.817500234,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.234234381
15,0.087500,0.000000000,0.000000000,0.430657804,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.858375251,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.230657804
16,0.091667,0.000000000,0.000000000,0.426910937,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.899250269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.226910937
17,0.095833,0.000000000,0.000000000,0.422993749,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.940125287,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.222993749
18,0.100000,0.000000000,0.000000000,0.418906242,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.981000304,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.218906242
19,0.104167,0.000000000,0.000000000,0.414648414,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.021875262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.214648414
20,0.108333,0.000000000,0.000000000,0.410220295,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.062750220,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.210220295
21,0.112500,0.000000000,0.000000000,0.405621856,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.103625178,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.205621856
22,0.116667,0.000000000,0.000000000,0.400853097,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.144500136,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.200853097
23,0.120833,0.000000000,0.000000000,0.395914048,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.185375094,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.195914048
24,0.125000,0.000000000,0.000000000,0.390804678,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.226250052,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.190804678
25,0.129167,0.000000000,0.000000000,0.385524988,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.267125010,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.185524988
26,0.133333,0.000000000,0.000000000,0.380074978,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.307999969,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.180074978
27,0.137500,0.000000000,0.000000000,0.374454677,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.348874927,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.174454677
28,0.141667,0.000000000,0.000000000,0.368664056,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.389749885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.168664056
29,0.145833,-0.000005558,-0.000007201,0.370000184,0.999999940,0.000081360,-0.000055591,0.000000745,-0.002824210,-0.002011183,-0.002473217,0.213981062,-0.170792878,-0.003500059,-0.000005558,-0.000007201,0.170000184
