step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
56,0.983333,-0.000001164,-0.000001502,0.224999994,1.000000000,0.000015494,-0.000010701,0.000000163,0.000106553,-0.000062337,-0.000212285,0.008407403,0.001077786,-0.000020419,-0.000001164,-0.000001502,0.024999994
57,1.000000,-0.000001164,-0.000001501,0.224999994,0.999999940,0.000015525,-0.000010707,0.000000167,0.000106537,-0.000062350,-0.000212291,0.008407634,0.001077520,-0.000020428,-0.000001164,-0.000001501,0.024999994
58,1.016667,-0.000001163,-0.000001501,0.224999994,1.000000000,0.000015556,-0.000010713,0.000000172,0.000106533,-0.000062350,-0.000212295,0.008407561,0.001077604,-0.000020431,-0.000001163,-0.000001501,0.024999994
59,1.033333,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015383,-0.000010760,0.000000151,0.000106391,-0.000062452,-0.000212271,0.008408925,0.001074444,-0.000020459,-0.000001165,-0.000001501,0.024999994
60,1.050000,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015647,-0.000010789,0.000000165,0.000106583,-0.000062370,-0.000212288,0.008408209,0.001078588,-0.000020342,-0.000001164,-0.000001502,0.024999994
61,1.066667,-0.000001164,-0.000001500,0.224999994,1.000000000,0.000015514,-0.000010687,0.000000172,0.000106536,-0.000062308,-0.000212308,0.008407200,0.001077223,-0.000020491,-0.000001164,-0.000001500,0.024999994
62,1.083333,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015342,-0.000010744,0.000000164,0.000106463,-0.000062436,-0.000212286,0.008408973,0.001076338,-0.000020408,-0.000001164,-0.000001501,0.024999994
63,1.100000,-0.000001165,-0.000001502,0.224999994,0.999999940,0.000015601,-0.000010772,0.000000165,0.000106512,-0.000062381,-0.000212270,0.008407764,0.001077116,-0.000020400,-0.000001165,-0.000001502,0.024999994
64,1.116667,-0.000001164,-0.000001501,0.224999994,1.000000000,0.000015618,-0.000010791,0.000000170,0.000106522,-0.000062361,-0.000212304,0.008408138,0.001077260,-0.000020442,-0.000001164,-0.000001501,0.024999994
65,1.133333,-0.000001165,-0.000001502,0.224999994,1.000000000,0.000015303,-0.000010719,0.000000175,0.000106468,-0.000062411,-0.000212295,0.008408834,0.001076154,-0.000020436,-0.000001165,-0.000001502,0.024999994
66,1.150000,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015581,-0.000010728,0.000000165,0.000106569,-0.000062345,-0.000212276,0.008407095,0.001078332,-0.000020375,-0.000001164,-0.000001502,0.024999994
67,1.166667,-0.000001163,-0.000001502,0.224999994,0.999999940,0.000015413,-0.000010782,0.000000170,0.000106554,-0.000062364,-0.000212305,0.008408488,0.001077848,-0.000020410,-0.000001163,-0.000001502,0.024999994
68,1.183333,-0.000001163,-0.000001500,0.224999994,1.000000000,0.000015522,-0.000010683,0.000000160,0.000106538,-0.000062301,-0.000212279,0.008406059,0.001077427,-0.000020462,-0.000001163,-0.000001500,0.024999994
69,1.200000,-0.000001164,-0.000001502,0.224999994,1.000000000,0.000015352,-0.000010742,0.000000164,0.000106459,-0.000062457,-0.000212282,0.008409509,0.001076143,-0.000020390,-0.000001164,-0.000001502,0.024999994
70,1.216667,-0.000001164,-0.000001502,0.224999994,0.999999940,0.000015611,-0.000010769,0.000000165,0.000106514,-0.000062380,-0.000212270,0.008407819,0.001076955,-0.000020403,-0.000001164,-0.000001502,0.024999994
71,1.233333,-0.000001163,-0.000001499,0.224999994,1.000000000,0.000015624,-0.000010785,0.000000171,0.000106597,-0.000062259,-0.000212316,0.008406454,0.001078403,-0.000020485,-0.000001163,-0.000001499,0.024999994
72,1.250000,-0.000001165,-0.000001501,0.224999994,1.000000000,0.000015311,-0.000010710,0.000000174,0.000106360,-0.000062510,-0.000212272,0.008410279,0.001074115,-0.000020435,-0.000001165,-0.000001501,0.024999994
